nickname,age,gender,rate,review
leah1127さん,20代,女性,5,メッチャ美味しい！辛い物食べたくて仕方がない〜これで満足できるわ！美味しい！
コウゴウケツさん,30代,男性,4,大満足です梱包がきれで、賞味期間も問題なかったです。
購入者さん,,,5,プルタクの方より甘みが控えめな感じで、スッキリしてます！めっちゃ美味い！！！！！辛いっっっ！！！
どれあむ☆さん,20代,女性,5,美味しい!!麺がモチモチしててとっても美味しいです！ただそのままだと私には辛すぎるので、チーズをトッピングすると丁度いいです〜またリピするかも！
こんにちワンコ3281さん,50代,男性,5,"今回はリピです。もう辛くて美味しくて病みつきかも！
リピしちゃいました。"
購入者さん,,,5,"こちらは他店舗で購入し、味見済です。
とんでもなく辛くてもうダメだと思うのですがしばらくすると不思議と食べたくなります。
中毒性があるのですかね。
今回八道のものも購入したので食べ比べが楽しみです。"
プリンセスARIELさん,40代,女性,5,辛いです。そのままだとただ超辛いラーメンなのですが、半熟たまご、チーズをトッピングするとめちゃ美味しいです。
パッチャンのママさん,40代,女性,5,"リピです！
辛いのにハマり中です。この商品はからけど甘味もあり 
わたしはチーズトッピングして食べています。"
ハイジ4709さん,50代,女性,5,"注文番号：243254-20150829-0266165232
めちゃくちゃ辛くて、めちゃくちゃ美味しいので、
リピートしてます。
辛いけど、また食べたくなるので、在庫を切らさないようにしています。"
購入者さん,,,5,大好きですハマってしまい、追加買いしてしまいました。最後に充分に水分を飛ばすよう炒めるとさらに辛さが楽しめます。日本のスーパーでは絶対売ってなさそうな激辛さです。
購入者さん,,,5,最高！激辛いの大好きなので、すごく気に入りました！韓国人の友人いわく本場韓国でも人気なようです。辛いので苦手な方は心して食べた方がよいかもしれません。好きな方ははまると思います！
talkingdollさん,20代,女性,5,辛くて美味しい辛い!! でもとても美味しい！ たべてみておすすめ！
kimi@chiさん,40代,女性,5,"辛い!!けどまた食べたくなる事間違いなし♪
辛いもの好きな友人におすそ分けしました。
多分、また買うと思います。"
knkan2525さん,40代,女性,5,"美味しい！！辛くて（痛い）少し甘めで麺は太め
辛いのが大好きで辛ラーメンの辛さでは物足らない人に
オススメです
凄く辛いけどタレ？と麺が美味しいのでリピ決定です
普通にすすって食べるとむせるので注意したほうがいいです(^^;
唇が痛くなるぐらい辛いけどクセになる味"
makemakeさん,30代,女性,5,"辛くておいしい！想像よりも辛くて大満足！！
十分な辛さと、甘辛+酸味のバランスがやみつきになります！
リピ確定です！！"
coro5621さん,50代,女性,5,"美味しい
久しぶりに、満足した辛さに会いました。いくつか同時に購入しましたが、この商品が一番辛く美味しかったです。
絶対にまた、買うと思います"
購入者さん,,,5,この度は、迅速かつ配送前のキメ細かい配慮ありがとうございます。大変満足しております。また機会がある際は、宜しくお願い致します。
購入者さん,,,5,"かっらい！辛党な私ですが、それでもソースを半分だけにしています。
マヨネーズ入れるとマイルドになります。
これはただ辛いのではなくて旨味もあるしおいしい
どこいってもなかなか売ってないのでここでリピートしてます"
購入者さん,,,5,まだまだ食べてはいませんが期待をこめて星5。。。
購入者さん,,,5,リピートです。初めて購入した時一口で辛さにハマりました。今度は具を色々試してみようと思います。
購入者さん,,,5,ハマりました！辛さがいいです！激辛好きの友人にも勧めました。
のびたねこさん,40代,女性,5,辛いです。辛いけど美味しいです。辛いのが苦手な人には無理な辛さかもしれませんが、美味しいです。
にゃんすけAさん,20代,女性,5,"夫用にすぐに届きました！
韓国の取り扱っている商品のカタログも入っていました。
今回は辛いもの好きの旦那に購入しました。辛ラーメンよりは明らかに辛いらしいです。が、普通に完食していました。美味しかったと言っていました(^^)
私は一口で、ギブアップでした笑 かなり、ピリピリしました！"
