date,time,user_name,text,link,retweet_counts,favorite_counts
2020-03-02,10:35:59,niF1SSvgogTTC2v,뭐지 저... 시날 세션 공개할 것두 아니고 그냥 저희끼리 놀려고 간단하게 짠 거라 시날 스포하셔도 ㄱㅊ아요 스포 당할 사람이 없음,https://twitter.com/niF1SSvgogTTC2v/status/1234427222779256834,0,0
2020-03-02,10:35:34,DatenoMegane,P5 최애곡은 이 곡인데 문제는 이 곡이 준 최종보스까지는 가야 나오는 곡이라 가사가 살짝 스포 ㅋㅋㅋㅋㅋ 나중에 P5 하시게 되면 꼭 들어주세요... ,https://twitter.com/DatenoMegane/status/1234427118483722241,3,2
2020-03-02,10:35:31,FF14_Smongmong,"모그리 서버 안개빛마을 16구 3번지에서 5.0 메인""칠흑의 반역자"" 컨셉의 마피아 게임 ""아씨엔 잡기"" 게임을 금일 오후 10시부터 진행합니다! 기존 마피아 게임의 역활과 룰에 칠흑의 반역자 스포 요소로 다수 변경하였습니다! 5.0메인을 다 미신분들의 참여 권장해요! 게임플레이인원은 최소 10인이며 ",https://twitter.com/FF14_Smongmong/status/1234427108681637889,3,5
2020-03-02,10:35:12,msy4182,진정령볼때 실시간으로 친구한테 사추 위무선조아함? ㅇㅈㄹ햇다가 친구ㅈㄴ할말잃고 스포해줌ㅋㅋ,https://twitter.com/msy4182/status/1234427026343223301,0,1
2020-03-02,10:35:07,r1bb0nb0n4,사쿠라도 아가씨캐인데 토오사카 재산은 신부님이 청렴히 굴리고 마토가 재산은...!! 으으으으스포,https://twitter.com/r1bb0nb0n4/status/1234427006562889729,0,0
2020-03-02,10:35:05,manie_mo_,44. 산책을 요즘 할 수 없음 45. 학교 다닐 때 한번 노래를 한적 있데. 46. 소확행 2! 47. 연습하고 있는 노래는 스페셜 무대에서 볼 수 있음. 48. 컴백 스포는 못하겠데요 49. 요즘은 향초 키는 게 좋데요 50. 네이버팁 댓글 봤데요 왤케 재밌냐구ㅋㅋㅋ 51. 캡처타임. 52. 똑같은 포즈라는 말에,https://twitter.com/manie_mo_/status/1234426997712932866,0,8
2020-03-02,10:33:36,sami_0381,"어,, 영업을 스포짤로 해도 갠찮나여?",https://twitter.com/sami_0381/status/1234426626588282881,0,0
2020-03-02,10:33:02,Sp2_Simong,내용올리면 스포일까봐 못 올리고 그 화면에서 30분째 가만히있는중,https://twitter.com/Sp2_Simong/status/1234426481503166464,0,1
2020-03-02,10:31:49,SGang_beer,리디에서 결제해둔게 아까워서 문피로 갈아타기는좀 그런데ㅠ 탐라에서 계속 당일 스포보이니까 것도 좀 그렇구...ㅠ,https://twitter.com/SGang_beer/status/1234426174136127493,0,0
2020-03-02,10:31:44,accio_0,호감도 14 정리해둔 유툽 댓글에(본 영상은 스포일까봐 하비 부분만 봄) 다들 세바스찬은 개구리 운운하던데,https://twitter.com/accio_0/status/1234426154464903168,0,0
